"item_code","deskripsi","qty_on_hand","min_stock","max_stock","is_critical","lokasi_rak"
"Q-10090-00","GypsumJaya Board","0","0","0","Tidak","-"
"T-22069-00","H-14-HEPA-Filter Cartridge with new optimised design for B/C-Max 3, Calire-3; No Brand; -; piece","0","0","0","Tidak","-"
"T-20381-00","Halogen Lamp NA55917 12V; Shimadzu; Part No. 062-65005; 1","0","0","0","Tidak","-"
"Q-60401-00","Handle Pintu Bulat, Elbow Press Lock; Meroni; N13NE TB127;","1","1","5","Tidak","N-2"
"Q-10904-00","Handle Pintu Kaca Deksson DK 82801; ; ;","0","0","0","Tidak","-"
"Q-70163-00","Handle Tap Balik / Handle Tap M3-M12 mm; Tekiro; GT-TH1864; pc","0","0","0","Tidak","-"
"T-12045-00","Hard disk Desktop Internal Seagate 1TB SATA; Seagate; ;","0","0","0","Tidak","-"
"Q-60107-00","Hardener / Obat dempul sanpolac; ; ; pack size per tube","0","0","0","Tidak","-"
"Q-10785-00","Hardisk Enclosure Case 3.5 Inch","0","0","0","Tidak","-"
"P-19125-00","HB HCX Series (H14) 99,99% 0,3 micron 610x610x292 mm; IAF; ;","0","0","0","Tidak","-"
"P-19206-00","HB Series (H13) :592x592x292mm Minimum efficiency : 99,99% on 0,3 micron Rec.final resistance:50; IAF; ;","6","1","6","Tidak","-"
"O-19740-00","HB Series H13 99,99%, on 0.3 Micron, Size 592 x 592 x 292 mm; IAF; ;","0","0","0","Tidak","-"
"T-12000-00","HDD Internal - 4TB SATA Seagate SKYHAWK Surveilance 3.5 inch","0","0","0","Tidak","-"
"T-12106-00","HDD Internal 6 TB WD Purple","0","0","0","Tidak","-"
"T-12025-00","HDD Internal Notebook 500 GB Seagate","0","0","0","Tidak","-"
"T-10087-00","HDD Internal PC 500 GB","0","0","0","Tidak","-"
"P-52529-00","HDMI NSH-35 s/n 1308744 P/n: PWS6A00T-P; ; ;","0","0","0","Tidak","-"
"O-19786-00","Head Pusher Cartoning Uk. 15x 22x 51 mm Material SUS 304; Custom; ;","0","0","0","Tidak","-"
"P-53660-00","Heat Shrink dia. 3 mm Warna Hitam (1 roll = 100 mtr)","1","0","0","Tidak","A3"
"P-53661-00","Heat Shrink dia. 4 mm Warna Hitam (1 roll = 100 mtr)","0","0","0","Tidak","-"
"P-53663-00","Heat Shrink dia. 6 mm Warna Hitam (1 roll = 100 mtr)","0","0","0","Tidak","-"
"O-15614-00","HEATER : TREC ; AISI 316 MADE BY 3 MONO-PIPE ELEMENTS D.16 L=460; POWER 1000W CAD. (TOT.3000W) ; TENSION: 230V; R.W. HEATERS ;","0","0","0","Tidak","-"
"P-52421-00","Heater Cold Storage Door 4 mtr 300 Watt 220V","0","0","0","Tidak","-"
"P-17818-00","Heater Double Loop SS304 Dia: 8,2 x 255 mm Nepple: M12 Baut: M4 1500W 230V; ; ;","0","0","0","Tidak","-"
"T-20791-00","Heater/Cooler Engine 2690; Waters; 700001066;","0","1","1","Tidak","-"
"T-20427-00","Heater/sensor assembly for FID, TCD, NPD, and S/SL valves and detectors; Agilent; Part No. G1530-67950; Pcs","0","0","0","Tidak","-"
"P-18665-00","Heavy clamp ferrule 1 - 1 1/2 inch; SS304L;; ; ;","6","5","10","Tidak","N-3"
"O-53013-00","Heavy Duty Connector 4Pin (Male + Female); Lokal; ;","2","0","0","Tidak","A3"
"P-51813-00","Heavy Duty Door contact; ; ;","1","0","0","Tidak","F-2-2C"
"P-12983-00","Helicoil dia. M6x6mm","3","0","0","Tidak","N3"
"P-12984-00","Helicoil dia. M8x5mm","0","0","0","Tidak","-"
"O-15485-00","HEPA (H 14) Filters (155D mm x 150H mm); ; ;","0","0","0","Tidak","-"
"O-16949-00","Hepa Filter - H14 ( 99.999% ) size: 457x305x150","1","0","0","Tidak","Ruang Filter"
"P-54094-00","Hepa Filter - H14 ( 99.999% ) size: 610x610x70 mm Hencolin","0","0","0","Tidak","-"
"P-17858-00","Hepa Filter - H14 ( 99.999% ) size:305x610x69mm;; IAF; ;","2","1","3","Tidak","Ruang Filter"
"O-19385-00","HEPA FILTER 610 x 610 x 305 Class: F9 - 90-95%; Hencolin; ;","0","0","0","Tidak","-"
"O-19386-00","HEPA FILTER 610 x 610 x 305 Class: H14 - 99,999%; Hencolin; ;","2","2","4","Tidak","-"
"P-15412-00","HEPA Filter H13 (99,97% At DOP); Size : 762 x 457 x 150 mm; Type : 1FRSI-762 x 457 x 150-1SIHT; ; Art No. 16280027-01;","0","0","0","Tidak","-"
"O-19392-00","HEPA filter minipleat, size: 305X305X93 H13; Hencolin; ;","11","0","0","Tidak","Ruang Filter"
"O-19387-00","HEPA filter minipleat, size: 610X610X69 H14; Hencolin; ;","0","0","0","Tidak","-"
"O-17535-00","Hepa-Filter, Miele PRIMA INSTRUMENT ANALITIKA, PT P/N : 10083920 pc","1","0","0","Tidak","F-2-6"
"P-17047-00","Hexabolt M6; ; ;","0","0","0","Tidak","-"
"P-17001-00","Hexabolt M8; ; ;","0","0","0","Tidak","-"
"P-13396-00","HEXAGON CRIMPING PLIER 4-16MM2; Krisbow; Part No. KW0103754;","0","0","0","Tidak","-"
"O-15615-00","HIGH PRECISION OPTICAL FIBER 10MM WIDTH FU-12; PART NO :201020","0","1","1","Tidak","-"
"O-15616-00","HIGH PRECISION OPTICAL FIBER FU-7F; PART NO :201061","0","1","1","Tidak","-"
"O-15624-00","HIGH PRECISION OPTICAL FIBER; OMRON ;M4 STRAIGHT CONNECTION; MAX TEMPERATURE: 300?C; : 600MM MAX.; FIBER LENGTH: 5000MM;","0","0","0","Tidak","-"
"T-20127-00","High Pressure Motorized Valve Rebuild Kit Waters P/N : WAT045424","0","0","0","Tidak","-"
"O-15617-00","HIGH TEMPERATURE BLACK SILICONE GASKET FOR HOT CHAMBER DOOR - STERILINE : DIMMENSIONS 20X15X10 MM; PART NO :2958","0","0","0","Tidak","-"
"Q-10880-00","Holder Vertical Blind Hanger 127 mm","0","0","0","Tidak","-"
"P-12418-00","Hole saw u/ stainless stell dia 20 mm ex UNIKA","0","0","0","Tidak","-"
